program_id,program_name,federal_agency,subagency,need_categories,recipient_types,benefit_mechanism,welfare_stack_relationship,state_administered,state_supplement_or_waiver_possible,direct_household_value,links_to_state_database_candidate,priority_batch,rationale,official_source_url,verification_status
1,Supplemental Nutrition Assistance Program (SNAP),USDA,Food and Nutrition Service (FNS),"Food security; poverty; income support","Low-income households; families; individuals; elderly; disabled",VOUCHER,Foundational income support; categorical eligibility gateway to other programs,TRUE,TRUE,TRUE,TRUE,Batch 1,Largest U.S. nutrition assistance program serving 41.7M participants/month at $99.8B federal spending; 50-state implementation makes it top state database candidate.,https://www.fns.usda.gov/snap/supplemental-nutrition-assistance-program,Verified — USDA FNS primary source
2,Temporary Assistance for Needy Families (TANF),HHS,Administration for Children and Families (ACF),"Cash assistance; income support; poverty; child welfare; employment","Families with children; pregnant women; needy parents",GRANT-FORMULA,$16.57B/year block grant to states; funds cash assistance and services; high state variation,TRUE,TRUE,TRUE,TRUE,Batch 1,"$16.57B/year block grant; state-by-state variation in benefit levels, eligibility rules, and spending priorities makes it a high-value state database candidate.",https://www.acf.hhs.gov/ofa/programs/tanf,Verified — ACF/HHS primary source
3,Supplemental Security Income (SSI),Social Security Administration (SSA),N/A,"Disability; aging; income support; poverty","Elderly (65+); blind; disabled individuals with limited income/resources",CASH,Categorical eligibility trigger for Medicaid and SNAP in most states; state supplements common,FALSE,TRUE,TRUE,TRUE,Batch 1,Federal cash floor benefit ($967/month individual in 2025) for ~8 million people; SSI receipt triggers automatic Medicaid eligibility in most states.,https://www.ssa.gov/ssi,Verified — SSA primary source
4,Social Security Disability Insurance (SSDI / OASDI Disability),Social Security Administration (SSA),N/A,"Disability; income replacement; workers","Disabled workers with qualifying work history; dependents",CASH,Work-history-based insurance; 24-month wait triggers Medicare eligibility,FALSE,FALSE,TRUE,FALSE,Batch 1,7.2 million disabled workers receiving $1581/month average (Dec 2024); Medicare eligibility after 24-month waiting period makes this a critical disability stack node.,https://www.ssa.gov/disability,Verified — SSA primary source
5,Social Security Old-Age & Survivors Insurance (OASDI — Retirement & Survivors),Social Security Administration (SSA),N/A,"Retirement; income support; survivors","Retired workers (62+); survivors of deceased workers; dependents",CASH,Foundational retirement income; does not disqualify from SSI/SNAP/housing assistance,FALSE,FALSE,TRUE,FALSE,Batch 1,~60 million retirement/survivor beneficiaries receiving $1.6T/year; foundational income layer for nearly all senior households.,https://www.ssa.gov/policy/docs/statcomps/supplement/2024/oasdi.html,Verified — SSA primary source
6,Earned Income Tax Credit (EITC),U.S. Department of the Treasury / IRS,IRS (Wage and Investment Division),"Working poor; income support; poverty reduction; workers","Low- to moderate-income workers and families with or without children",TAX-CREDIT,"Largest refundable tax credit; supplements earnings; 30+ states have own EITC add-ons",FALSE,TRUE,TRUE,TRUE,Batch 1,~31 million workers claim ~$64B/year; refundable structure means low-income filers receive cash even with no tax liability; state EITC supplements create database linkage opportunity.,https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit-eitc,Verified — IRS primary source
7,Child Tax Credit (CTC) including Additional CTC (Refundable),U.S. Department of the Treasury / IRS,N/A,"Child poverty; family income support","Families with dependent children under 17",TAX-CREDIT,Second largest family income support after EITC; refundable portion reaches lowest-income families,FALSE,TRUE,TRUE,TRUE,Batch 1,Up to $2000/child ($1700 refundable in 2025); ~90% of families with children claim it; state child tax credits expanding nationally.,https://www.irs.gov/credits-deductions/individuals/child-tax-credit,Verified — IRS/Treasury primary source
8,Special Supplemental Nutrition Program for Women Infants and Children (WIC),USDA,Food and Nutrition Service (FNS),"Maternal/child nutrition; early childhood; poverty","Pregnant, postpartum, and breastfeeding women; infants; children under 5 at nutritional risk",VOUCHER,Upstream health investment; strong co-enrollment with Medicaid and SNAP,TRUE,TRUE,TRUE,TRUE,Batch 1,~6.5 million participants/month; state WIC agencies distribute federally-defined food packages; strong SNAP/Medicaid co-enrollment makes it a key welfare stack connector.,https://www.fns.usda.gov/wic,Verified — USDA FNS primary source
9,Medicaid,HHS,Centers for Medicare & Medicaid Services (CMS),"Health coverage; poverty; disability; aging; children; pregnancy","Low-income individuals and families; elderly; disabled; children; pregnant women",DIRECT-SERVICE,Largest public health insurer; SSI/TANF receipt often triggers automatic Medicaid; ACA expansion covers adults ≤138% FPL,TRUE,TRUE,TRUE,TRUE,Batch 2,">90 million enrolled; ~$900B/year federal-state spending; state waiver programs and expansion status make it the highest-priority state database candidate in health coverage.",https://www.medicaid.gov,Verified — CMS/Medicaid.gov primary source
10,Children's Health Insurance Program (CHIP),HHS,Centers for Medicare & Medicaid Services (CMS),"Children's health; family income support","Uninsured children in families above Medicaid limits; pregnant women in some states",DIRECT-SERVICE,Fills coverage gap for children between Medicaid and private insurance; enhanced federal match rate,TRUE,TRUE,TRUE,TRUE,Batch 2,~7 million children enrolled; states choose separate CHIP or Medicaid-expansion model creating meaningful state-level database differentiation.,https://www.medicaid.gov/chip,Verified — CMS/Medicaid.gov primary source
